,Factor,fishing_events,fishing_hours,fishing_hours_mpa
0,00,349324,111882.22500000554,6682.106944444429
1,10,291524,80592.67250000409,4060.0431944444435
2,20,280474,76560.83263889416,3810.719444444449
3,30,272077,73501.55972222763,3590.714027777773
4,40,263698,70307.46791667369,3363.868333333338
5,45,259062,68528.96388889672,3265.984166666667
6,50,254060,66617.16916667439,3126.731388888901
7,55,247886,64489.358194450884,3017.022222222222
8,60,240480,61947.20277778401,2880.3279166666757
9,65,231233,58693.5934722285,2733.354305555557
10,70,219301,54811.17611111525,2556.4176388888804
11,75,203231,49605.37847222735,2359.636250000012
12,80,177126,42103.19694444895,1987.3598611111097
13,85,122150,27998.446666668795,1238.096111111112
14,87,76636,17133.92986111104,669.9023611111098
15,89,1610,330.1544444444446,0.8033333333333333
